[00] 令和4年度の択一式過去問、7番です。全4問、答えは動画内で発表します。

[01] 問題1。上場企業は、株価に影響を与える経営上の重要な情報を、正確性に配慮しつつ、速報性を重視して適時開示することを証券取引所によって課せられており、このルールによる開示を適時開示（タイムリー・ディスクロージャー）と呼ぶ。次のうち、適時開示すべきものとして、最も不適切なものはどれか。

[02] 正答は1番。法定開示と適時開示の違いを明確に区別する。有価証券報告書の提出は金融商品取引法に基づく法定開示であり、適時開示の対象ではない。

[03] 問題2。アンケート調査などで得られる数値データの尺度を４種に分類した以下の表の（ア）～（エ）に該当する用語や例の組合せとして、最も適切なものはどれか。ここで、数値データには、数値以外のデータを数値に変換したデータを含む。また、下表の尺度の特徴は、大小比較・差分・比率に意味があることをO、意味がないことをxで表しており、比例尺度は比率尺度あるいは比尺度ともいう。

[04] 正答は4番。4つの尺度水準と各尺度に適した代表値を正確に整理する。ア＝順序、イ＝郵便番号、ウ＝身長、エ＝最頻値の組合せが正しい。

[05] 問題3。デジタル技術に関する次のA～Eの用語と、それらの説明である（ア）～（オ）の組合せとして、最も適切なものはどれか。A：デジタルディスラプションB：デジタルトランスフォーメーションC：デジタライゼーションD：デジタルファブリケーションE：デジタルツイン（ア）組織のビジネスモデル全体をデジタル化で一新し、クライアントやパートナーに対してサービスを提供するより良い方法を構築すること。（イ）IoT等を活用して現実空間の情報を取得し、サイバー空間内に現実空間の環境を再現する概念。（ウ）デジタル技術の活用による新たな商品・サービスの提供、新たなビジネスモデルの開発を通じて、社会制度や組織文化などにも変革していく取組。（エ）デジタル企業がデジタル技術を武器に市場に参入した結果、従来型のビジネスモデルや商習慣に風穴が開くことで、既存企業の存続が困難になること。（オ）3Dスキャナや3DCADなどにより、自分のアイデアなどをデジタルデータ化した上で、3Dプリンターなどのデジタル工作機械で造形すること。

[06] 正答は1番。DX関連用語の3段階の違いを整理する。A＝エ（デジタルディスラプション）、B＝ウ（DX）、C＝ア（デジタライゼーション）、D＝オ（デジタルファブリケーション）、E＝イ（デジタルツイン）の組合

[07] 問題4。情報ネットワーク上に存在する脅威の事例に対応するセキュリティ対策に関する次の記述のうち、最も不適切なものはどれか。

[08] 正答は2番。暗号化とデジタル署名の目的の違いを明確に区別する。否認防止のためにデジタル署名を利用するのは適切な対策である。

[09] フォローすると毎週、過去問解説が届きます。全問解説はドボクノートでチェック。
